airline_sentiment_Index,features,rawPrediction,probability,prediction
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[149,162,233,408,426,511,525,678,687,736,744,792,806,892],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.3819115398831652,-1.7739385865165176,0.39202704663335614]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7071026716556849,0.030124107069688728,0.2627732212746265]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[9,152,230,330,433,971],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.25255723499906113,0.6667636004104651,-0.9193208354095244]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3542388628901169,0.5360233936179393,0.10973774349194385]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[158,433,661,687,712,736,897,942,962],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.178655805999817,-1.0431957139817154,-0.13546009201809933]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7261531365433955,0.0787209565903299,0.19512590686627462]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[202,216,233,287,297,304,433,498,566,594,596,603,661,663,869,957,989],""values"":[1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.530779025576584,-1.579738195236005,-0.9510408303405726]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9549723952625665,0.01566086951750561,0.029366735219927866]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[18,104,182,296,363,426,502,639,693,773,779,886,897],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.44281659180805316,-0.167658816266608,-0.27515777554144155]}","{""vectorType"":""dense"",""length"":3,""values"":[0.492409058008239,0.26742372398580666,0.24016721800595442]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[4,177,223,248,304,330,367,372,378,422,671,785,958],""values"":[1,1,1,1,1,2,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.01335948974241983,0.5216975610617169,-0.5350570508041321]}","{""vectorType"":""dense"",""length"":3,""values"":[0.30860482757912616,0.5130635181742583,0.17833165424661565]}",1
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[18,32,252,300,330,342,413,477,486,524,687,815],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3678855670845904,-1.4438757539849516,1.0759901869003639]}","{""vectorType"":""dense"",""length"":3,""values"":[0.31313548241672134,0.05115573600595489,0.6357087815773237]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[10,26,244,302,317,387,433,519,661,683,731,736,869,901,996],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.3574639765598864,0.3840098663464124,-1.7414738429062941]}","{""vectorType"":""dense"",""length"":3,""values"":[0.702803422160888,0.26550219694979627,0.03169438088931578]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[162,227,281,330,347,357,372,421,451,553,586,791,860,944],""values"":[1,1,1,1,1,1,2,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.618442041014437,-1.2218897272937561,-0.3965523137206765]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8391180443337598,0.04900976797766651,0.11187218768857377]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[22,29,40,75,191,196,325,330,372,426,661,736,956,998],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.0199670804941525,-0.1812214494893391,-1.8387456310048091]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8835743413606919,0.09778653634608092,0.018639122293227183]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[281,303,393,415,588,736,806,942],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.643744065040229,-0.5179091206585462,-1.12583494438168]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8490239935616185,0.0977520588630234,0.05322394757535807]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[20,66,115,330,661,675,965],""values"":[1,1,1,3,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7507511586525583,0.20831233269921698,-0.9590634913517719]}","{""vectorType"":""dense"",""length"":3,""values"":[0.567463434732722,0.32988281625438115,0.10265374901289695]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[152,232,280,289,323,411,682,687,736,822,842],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.9165151838811553,-1.688460354753422,2.604975538634581]}","{""vectorType"":""dense"",""length"":3,""values"":[0.02833106575865051,0.013092162408061252,0.9585767718332883]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[129,153,205,248,286,413,445,456,604,736,866,867,997],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.3171003976246147,-0.6579162704284265,-0.659184127196184]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7828755777095799,0.10863103180305275,0.10849339048736732]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[24,50,79,190,224,261,274,402,447,560,731,738,782,909,911],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.0734546993770138,0.5963771323126281,-1.669831831689637]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5934884092648072,0.36831557716631874,0.038196013568874095]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[33,103,227,297,391,393,682,832],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6018653643006747,0.15460455346742077,-0.7564699177680928]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5272966915807024,0.33714144534504614,0.1355618630742515]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[16,29,61,157,221,275,286,433,488,553,736,741,809,850],""values"":[1,1,1,2,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.129756497446057,-1.1660239856633412,-0.963732511782712]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9238877272473135,0.03421999334001956,0.04189227941266689]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[312,372,460,597,736,825],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7804532890774176,0.30147485915093614,-1.0819281482283523]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5634697409298838,0.3490220859320372,0.08750817313807896]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[23,273,277,385,515,560,674,681,753,902],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6999093309321608,0.0682288519315759,-0.7681381828637337]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5675135730964782,0.30174557258808593,0.1307408543154359]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[0,34,157,177,199,273,330,432,436,627,635,750,893],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6218112550404787,-0.9737389039885158,0.35192764894804157]}","{""vectorType"":""dense"",""length"":3,""values"":[0.508578374667003,0.10313813164601081,0.3882834936869864]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[61,141,297,402,413,632,927,952,968,985],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5981554895675912,0.062408619946970056,-0.660564109514558]}","{""vectorType"":""dense"",""length"":3,""values"":[0.534974067458502,0.3130839620912163,0.1519419704502817]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[147,166,273,433,436,560],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.44675628725801364,0.019097094781724167,-0.46585338203973614]}","{""vectorType"":""dense"",""length"":3,""values"":[0.48697138891430214,0.3175217053229087,0.19550690576278928]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[196,285,307,330,619,662,734,736,800,837,866,909],""values"":[1,1,1,2,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.125480568571357,0.04738361697467425,-1.1728641855460267]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6941227658392725,0.23617000108610134,0.06970723307462624]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[61,74,157,183,184,309,430,451,560,680,911],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.0273068733024966,0.2658682233811025,-1.2931750966835955]}","{""vectorType"":""dense"",""length"":3,""values"":[0.638887687509715,0.29835678221235284,0.06275553027793207]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[136,330,354,426,496,611,682,734,839,868,882,958],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-1.2772267790740166,-0.9229617868424624,2.2001885659164833]}","{""vectorType"":""dense"",""length"":3,""values"":[0.028734751969554613,0.04095083711687277,0.9303144109135726]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[114,162,323,377,426,560],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1887827564126046,-0.03763134841757021,-1.1511514079950325]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7195918975897911,0.21108695077673129,0.06932115163347753]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[10,234,252,413,430,496,544,663,674,881,899,954],""values"":[1,1,1,2,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8827441600904952,-0.7266113743229736,-0.1561327857675175]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6435551717700597,0.12872163775099288,0.22772319047894732]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,92,232,246,330,372,535,661,751,999],""values"":[2,1,1,1,1,2,1,2,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9631368832432008,0.07614480739007468,-1.0392816906332718]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6464536997207236,0.2662696462320118,0.08727665404726458]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[23,152,214,330,422,436,545,687,824],""values"":[2,1,1,2,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.46340801904779394,-0.377426355348287,-0.08598166369950383]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4978461914869929,0.21474618642255408,0.2874076220904531]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[18,133,168,273,443,689,768,874],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.897790653230136,-0.2170818811717075,1.1148725344018457]}","{""vectorType"":""dense"",""length"":3,""values"":[0.09561603071386754,0.18886817092414693,0.7155157983619854]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[4,66,182,245,262,385,560,671,682,687,732,950],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.40490455953581955,-1.3105663126879858,1.7154708722238086]}","{""vectorType"":""dense"",""length"":3,""values"":[0.10268479547868735,0.04151282040301402,0.8558023841182986]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[62,71,177,208,344,560,817,958],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7473960318900226,-1.216837416507454,0.4694413846174336]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5269829686911642,0.07391640423532207,0.39910062707351374]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[2,72,117,440,471,490,684,783,836,870,899,931,989],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5361641338689336,0.9503670225381768,-1.4865311564071069]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3780057360799575,0.5719847092764984,0.05000955464354421]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[103,252,325,401,413,560,623,727,737,758,855,860,884],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.2502783103751014,-0.8162520861091933,-1.4340262242659045]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9330994453340561,0.04346610266848436,0.023434451997459468]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[7,37,81,138,168,175,240,372,388,391,434,617,668,736,778],""values"":[1,1,1,1,1,1,1,3,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9050753472545707,-1.095899699818994,0.19082435256442826]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6154747414087486,0.08321427105260304,0.30131098753864843]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[28,69,159,191,326,372,406,416,525,543,736,744,747,751,763,874,911],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.6418561608221909,-0.781021232724725,-0.8608349280974608]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8543134780961921,0.07574866369608173,0.06993785820772634]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[144,425,435,524,560,587,751,929,930],""values"":[2,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4486626817580403,0.614180104631599,-1.0628427863896361]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4165657923388883,0.49154910193486556,0.091885105726246]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,262,263,282,330,336,560,566,603,661,736,869,897,955],""values"":[1,1,1,1,1,1,1,1,1,2,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.2213765612610827,-0.4544962776758695,-1.7668802835852078]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9196428068969041,0.06331438169663682,0.017042811406459163]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[99,304,330,736,749],""values"":[1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6449375815063864,-0.28643297495635417,-0.35850460655003064]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5679789494847883,0.2237912730729518,0.2082297774422598]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,133,297,393,395,468,537,550,643,660,909],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7836031322304315,0.4160051187994505,-1.1996082510298787]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5464415138021237,0.378353622999644,0.07520486319823222]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[206,367,529,736,928,982],""values"":[1,2,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6181650920795716,0.5295379611657869,-1.1477030532453558]}","{""vectorType"":""dense"",""length"":3,""values"":[0.47933468557796216,0.4386807553626926,0.08198455905934515]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[168,325,328,330,374,536,569,738,755,897,915,956,993],""values"":[1,1,1,2,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1062375452363449,-0.6614366440671446,-0.444800901169196]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7231927147325496,0.12347041171002744,0.15333687355742287]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[420,422,560,607,609,850],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.1894219942345636,0.1297401927605305,-1.3191621869950922]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7003049015484658,0.2427019172508853,0.05699318120064896]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[226,367,422,523,533,560],""values"":[1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.06541968221673664,1.0172191304806588,-1.0826388126973936]}","{""vectorType"":""dense"",""length"":3,""values"":[0.2559103246130253,0.6629015827739647,0.08118809261301]}",1
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[135,166,330,463,532,557,569,582,750,806,822,927,944,962],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-1.4177762247472845,-1.6760707790339489,3.0938470037812387]}","{""vectorType"":""dense"",""length"":3,""values"":[0.01077099968883062,0.008319172195853566,0.9809098281153158]}",2
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[18,113,216,262,334,481,504,682,874,944],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.43515070440829645,-0.7267154823257485,1.161866186734048]}","{""vectorType"":""dense"",""length"":3,""values"":[0.1495802936376052,0.11175048258572025,0.7386692237766747]}",2
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[0,22,35,90,297,389,395,415,426,450,510,537,600,683,892,914],""values"":[1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.684175061077156,-0.5014063066421535,-2.1827687544349974]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9532424573298643,0.039420576193700145,0.00733696647643543]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[297,537,599,775],""values"":[1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.2966357211731039,0.5437690535498596,-0.840404774722962]}","{""vectorType"":""dense"",""length"":3,""values"":[0.384450256874485,0.4922308146822623,0.12331892844325283]}",1
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[86,110,146,297,730],""values"":[1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.33962048871295386,-0.09443435915716436,-0.24518612955578756]}","{""vectorType"":""dense"",""length"":3,""values"":[0.45349616209738597,0.29380960596541983,0.252694231937194]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[146,153,347,365,430,560,621,958,992],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5683839521744996,-0.5401358077531286,-0.028248144421368027]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5317140173287801,0.17549069533461129,0.2927952873366087]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[0,10,16,61,224,273,474,496,560,747,803,924],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4474159422416811,-0.71491430069559,0.26749835845391295]}","{""vectorType"":""dense"",""length"":3,""values"":[0.46552863211183704,0.1455971207042859,0.38887424718387714]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[119,330,462,537,580,613,664,707,782,809],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.3339942110872745,0.22681097621870094,-1.5608051873059723]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7216055369633356,0.23848237471361183,0.03991208832305266]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[25,304,515,681,736,823,840,904,952,966],""values"":[1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.0665369590967095,0.30376181152028614,-1.3702987706169925]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6435803780503936,0.30014682730425046,0.05627279464535596]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,112,157,281,330,332,419,450,580,594,874,882,898,944,958,989],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.3715949689131486,-1.5562457687142794,0.18465079980113502]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7360167152598303,0.0393860657189204,0.22459721902124932]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,146,206,262,297,347,387,405,537,603,658,815],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.0145889523290972,0.18634771375369336,-1.2009366660827865]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6468669223093061,0.28256238287623636,0.0705706948144575]}",0
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[217,479,787,792,795,860,865,869],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.2818348295537694,-0.22368499957176508,-1.058149829982002]}","{""vectorType"":""dense"",""length"":3,""values"":[0.758592369784044,0.168333097866335,0.07307453234962107]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[296,330,451,504,525,758,781],""values"":[1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.589752386716431,-0.3523785898478872,-0.23737379686854126]}","{""vectorType"":""dense"",""length"":3,""values"":[0.547315262955034,0.213341466019937,0.23934327102502898]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,30,114,139,188,366,372,403,418,477,527,560,644,736,758,778,892],""values"":[1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[2.3961732234949076,-1.3273692465790297,-1.0688039769158724]}","{""vectorType"":""dense"",""length"":3,""values"":[0.9474883121770138,0.0228802051169559,0.029631482706030162]}",0
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[330,367,519,534,619,659,664,768],""values"":[1,1,1,2,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.02542959893008325,0.6817424118153519,-0.6563128128852657]}","{""vectorType"":""dense"",""length"":3,""values"":[0.28086977204981833,0.5696733509156134,0.14945687703456825]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[372,413,416,422,456,457,560,901],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7393818489407019,-0.06458222764357008,-0.6747996212971297]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5914794363262841,0.26471739975254316,0.1438031639211728]}",0
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[150,221,297,413,687,798,822,898],""values"":[1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.12356107172210481,-1.176709420297721,1.300270492019828]}","{""vectorType"":""dense"",""length"":3,""values"":[0.18175736766605308,0.0634038321980839,0.754838800135863]}",2
2,"{""vectorType"":""sparse"",""length"":1000,""indices"":[11,112,182,213,230,330,367,941,944],""values"":[1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[-0.1418731226749146,-0.17626770627357485,0.31814082894849255]}","{""vectorType"":""dense"",""length"":3,""values"":[0.28166742717080656,0.2721443040203205,0.446188268808873]}",2
1,"{""vectorType"":""sparse"",""length"":1000,""indices"":[110,199,536,560,623,945],""values"":[1,2,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[0.5479809666392549,0.6075930633517765,-1.1555740299910293]}","{""vectorType"":""dense"",""length"":3,""values"":[0.4457400673343849,0.4731195335333065,0.08114039913230867]}",1
0,"{""vectorType"":""sparse"",""length"":1000,""indices"":[29,123,173,211,482,556,560,792,870,896,989],""values"":[1,1,1,1,1,1,1,1,1,1,1]}","{""vectorType"":""dense"",""length"":3,""values"":[1.6016007631029316,0.28491880598375174,-1.88651956908668]}","{""vectorType"":""dense"",""length"":3,""values"":[0.7700710956445156,0.20639687344854848,0.02353203090693581]}",0
